Error number: Text: Cause: Remedy:,,,
1:2063,TBI error 2063 Error during the function chdir,"TBI can occur with the call AUTgetlinkedObjects. There should be an
AUT API tracer in the meantime.",
33:42418,,"Message comes when executing the function
RAM TO ROM: The service requested is
not supported by the module.","T h e m o d u le on which you wish to execute this function does not yet support
this function. Note the restrictions of the CPU used (menu command PLC >
Module status, Performance Data tab or look up the performance data in the
documentation for the module used).
Use a more powerful module."
,,The addressed object does not exist on the module.,Check the addressing of the object.
33:53315,"D043: Data Error: The references order is not
available.","When controlling by monitoring variables, it might happen that when too
many control jobs are sent to the CPU, the CPU rejects them because its
buffer is too full.",Acknowledge the message and reduce the frequency of the control jobs.
33:53343,,,
33:53346,"Resources error (D062), job list is too full","The variable table (VAT) can no longer be opened although the table
could be opened previously without any problems using the same
program and with the same CPU. Probably the VAT concerned has not
be closed correctly in the CPU.","Please switch off the power supply of your CPU and then on again. Delete
jobs no longer required (for example, deleting breakpoints, terminating the
function ""Monitoring/Modifying Variables"", terminating the function ""Program
Status""). You will then be able to go online again with the VAT."
33:53347,"(D063) Resources error: the trigger event is
occupied.","It is no longer possible to monitor a block. This behavior is triggered by
irregular termination of the process in the operating system.","1. Unplug the online cable of the CPU and wait at least 1 minute. It is not
enough to unplug the CPU just briefly.
2. Shut down your programming device and wait 1 minute before switching it
on again. A simple reboot is not always sufficient."
,,"Message from the module. This function cannot be executed at the
moment, because the resource required is already occupied. There are
also too many test functions activated at the same time and the resources
available on the module are exhausted.","Delete the jobs that you no longer need (e.g. delete stop points, close the
""Monitor/control variables"" function, close the ""Program Status"" function)."
33:53772,Note the restrictions of the module being used.,Message from a module.,"Note the restrictions of the module implemented. (See also in the Message
from Modules area.)"
33:53790,"The module to be assigned parameters is currently
busy assigning parameters to subordinate devices.
It was been by the modules: 416-2DP + CP443-5
Extended",,"Remedy: reset the CP via Online HW Config and Download HW Config.
Repeat the module download when all stations and field devices on the bus
are started up and in operation. To ensure that the module to be
downloaded temporarily cannot assign parameters to subordinate devices,
remove the interconnecting bus cable from the DP interface for the duration
of the downloading process."
,,,"In the case of an IM 467, you must do a POWER OFF/ON. This resets the
IM and the HW Configuration can now be downloaded."
Error number: Text: Cause: Remedy:,,,
33:53797,"The distributed I/O system data block is structured
incorrectly.","A diagnostics address outside the address area has been specified. (For
example, Win AC lite was installed.)",Change the diagnostics address.
33:53798,"A mismatched CPU type or an internal structural
error has been detected during block analysis.","When evaluating the blocks, an incompatible CPU type or internal
structure error was detected.","Please check whether the type (MLFB) of the CPU that you have configured
matches the CPU type onto which you are loading.
Match the CPU types and reload.
If this is not the case, nevertheless regenerate the configuration data
(blocks) and load the data onto the CPU. Please check that you are using
the latest version of the configuration software (with the latest Service Pack)."
33:53824,D204: The rules of coordinations were broken.,"When attempting to load the system data, there was still a variable table
open online.",Close the variable table and retransfer the system data.
33:59906,"The communication software (S7DOS) and the
interface module (CP) have not the same protocol.","The customer has a STEP 7 V5+SP1 + new PDM and a CP 443-5 Ext >
V2.7. The new protocol RPC 7 that is used for data record routing
between the CP and S7DOS. Unfortunately versions up to version V2.7 of
the CP do not have this function.",Upgrade CP 443-5 to a version >V2.7.
,,"The user is implementing the right components STEP 7 V5 + SP2 + PDM,
but has a CP that does not include the DSGW.","Check the configuration and replace the CP implemented with a different CP
that includes this function."
34:11,Compiler information: handle not valid.,When monitoring an empty network with the LAD/FBD/STL editor.,Delete empty network.
34:21,Compiler information: element not found.,The element could not be found in the referenced database.,Check the spelling of your search key and your database reference.
34:38,Compiler information: Compiler error,,
34:39,,"You have attempted to rename a variable, but the name is already being
used.",
34:152,Reference data could not be generated.,Error in the database.,"The project can be correct+D191ed with ""Save As with reorganization""."
34:168,"The moduls in the comand structure are protected
and can not be generated.","One or more direct or indirect reference module is know how protected
and can not be generated","Please deactivate the option ""Include reference blocks"" in the menue
""Generate source ..."". You have to create the list of the moduls via manual
without the protected moduls."
34:173,At least one symbol assignment has changed,"If you copy a symbolically addressed block from the library of an S7
project into another project and after you open the block.
In the original project you generate an STL source from the block.","1. Please make sure that the source is generated with the setting ""absolute"".
2. Copy the source into the new project; the project can be configured as
symbolically addressed.
3. Now compile the source and so generate the block.
After that you can adapt the symbols as required without the behavior
described above occurring."
Error number: Text: Cause: Remedy:,,,
34:178,"Block call invalid because interface was changed
in the meantime.","With Step7 V5.0 the instance DB of the DB type is entered in the symbol
list for an FB call. This is no longer permitted with Step7 V5.0. In this case
the ""Update Call"" function doesn't work.",Enter the instance DB of the FB type in the symbol list.
34:4321,"Error in column 1, distribute the program in little
blocks.",,
34:4355,"F Ze %2!06d! Sp %3!03d!: No PLC type
description found for called or addressed block
%4.",The block called is not available.,The block is to be compiled before the call.
,,,"In the case of SFB/SFC calls, please copy into your offline database with the
SIMATIC Manager (block container)."
,,,"If the SFB/SFC is not available on the CPU addressed, then it should not be
called!"
34:4461,"The block %4 that was called/used is protected or
created by S7-GRAPH and cannot be generated.","You are trying to generate a KNOW_HOW_PROTECT block into an STL
source.",The block named is protected and cannot be generated into an STL source.
34:4469,"The declaration range of your formal parameter
does not match the declaration range of the actual
parameter, for example, no OUTPUT paramater
from the actual end can be assigned to an INPUT
parameter from the formal end.","It is not allowed, that an OUT variable of the calling function block is
parameterized with the IN variable of the function block called.","We recommend first saving the data temporarily on a static variable. In a
further network this static variable is parameterized with the IN variable of
the FB called. The output variable of the higher-level block, the static
variable and the input variable of the lower-level block must be of the same
data type."
34:4485,,"The parameter assignments can be specified in any order in the ASCII
source. The comments, however, are stored separately from the actual
online block in the order entered. Thus, when exchanging parameters in
the source, the order of comments might then be wrong. When the block
is opened, the comments are then assigned incorrectly. In the worst case
comments might even be lost. The following comments in the network are
also affected, even when the exchanged parameters are not even
commented.","If you have entered comments for parameters, then when assigning the
parameters, please keep to the order in which the parameters of the block
called are declared."
,,"Message appears when opening a VAT. The directory S7USS is missing
in the SIEMENS\STEP7 directory.",Reinstall STEP 7.
88:47,"Unable to reach the module %1 by means of the
online interface that is set.",Programming device is connected to the MPI interface of the CPU.,"Check whether the CPU is routing-compatible. If Not, then please set your
MPI driver to PROFIBUS and connect up with the PROFIBUS DP. Then
repeat the desired function."
Error number: Text: Cause: Remedy:,,,
256:24,Function open Environment is not implemetiert,Multiple start of the SIMATIC Manager,"In the STEP7_V2/S7met directory delete the files S7CacheA.dat and
S7ser.dat with Win95 Explorer. The ending .dat can be left out; depending
on the options package, there is also an S7CacheB -E.dat"
256:26,Internal OLE Error.,"Not enough space on the hard disk, the database cannot be started.",Create space on the hard disk and set user-defined virtual memory.
,,Wrong DLL in Windows/System and/or wrong Registry entry.,Start program editor via Explorer and evaluate error message.
,,,"If the following message appears: ""The file S7HRVERX.DLL is linked with
the missing export S7OTBLDX.DLL: s7_set_password."", then check
whether the file 'S7OTBLDX.DLL' is in the Windows system directory. When
implementing STEP 7 V4.02, you must delete this file from the Windows
system directory."
,,,"If the following message appears: ""The file S7KAFAPX is linked with the
missing export OT5050R.DLL:4224"", check whether the OT5050R 2x is on
the computer. Rename all except those that are in the S7BIN directory."
,,With V3.1 when printing,With V3.1 copy block comment into network comment.
,,WIN 95: the OLE was not installed properly when installing WINDOWS.,Delete Windows directory and then reinstall WINDOWS.
,,"Message appears when opening a VAT.
The S7USS directory is missing in the directory SIEMENS\STEP7.",Reinstall STEP 7.
256:30,"SCL: Programming of S7 moduls. The object was
deleted.","Error occurs when you export an SCL source, delete it in the SIMATIC
Manager and then import it again and compile it.","Delete the block contained in the source in the SIMATIC Manager first and
only then compile."
256:31,This object was not found.,"An object that fulfills the criteria specified is not available. The function
triggered cannot be executed. The assignments in the OFFLINE
database with regard to the HW configuration are no longer consistent.","You can reorganize the addresses with key combination
<CTRL>+<ALT>+<F11>."
256:32,Not valid objects.,A link has obviously been lost.,"In V2.1 projects the solution is to use ""Save As with Reorganization"""
256:35,Internal system error is not repairable.,,
256:49,"The quoted entry is not in the registry by Windows
or contains a not valid value.","Error occurred when downloading SDBs into a remote CPU via
TeleService. The cause here was a bad telephone line connection
(analog) (in the USA). After several attempts to set up an ONLINE
connection, the SDBs could be transferred without this error message. An
attempt was also made to achieve a higher transmission rate with the
ONLINE connection.","Set up the connection over and over again and wait for a better line quality.
Try to get a higher transmission rate (<- indicator for better line quality at
the time of connection set up)."
Error number: Text: Cause: Remedy:,,,
256:53,Internal error: Not valid pointer.,"In PLCSIM an attempt was made to load the last simulation in PLCSIM
via the menu item Simulation -> Last Simulation. Since the old project
data (e.g. also block interfaces) has perhaps changed in the meantime,
some of the data of the simulation originally created no longer matches
the current project.","Create a new simulation via Simulation -> New PLC. The next time you run
the last simulation the latest new simulation will be loaded without error
message."
256:56,There is an internal error in the system.,Project might be damaged.,Terminate application and restart.
,,,"If the error re-occurs, restart Windows."
,"STEP 7 V5.x: There is an internal error in the
system.",,Send project in to the Technical SIMATIC Customer Support.
256:57,"There is an not repairable error in the system
during the programming. The function can not be
implemented.",ProjID.pro might possibly exist when dearchiving.,Copy/move ProjID.pro.
256:62,"Not repairable internal system error in refer to the
file ""symlist.dbf"".",Project might be damaged. Computer might have crashed.,Save as ... with consistency check or recreate the project.
256:63,,,Please see the remedies by errror number 258:15.
256:68,"The object ... cannot be edited because it is
currently opened by another application or another
user.","This message appears when you start the ""File > Save as..."" function
together with the ""With reorganization (slowly)"" option if there are still
applications open (e.g. Symbol Table) in the project which is being
reorganized.","Before reorganizing, close all the applications in the project."
256:85,,SIMATIC Manager expects formatted names.,Enter correct name with VAT<digit>.
256:89,"The version 513 of the objekt XR00001 is not
compatible in refer to the installed software.",Legacy from V2 in XUTIL catalog,Delete the XUTIL directory in the project path
256:92,The data can only be read.,"This might be data, for example, from a project or library. The cause
might be that there are no write rights for the directory or drive in which
the data are located.","Make sure that you have the appropriate rights to access the drive or
directory where the data is located.
Remedy:
Using a virus scanner in Runtime mode can lead to faults. Do the virus
scanning offline (i.e. at times when you are not working on your STEP 7
project) or disable the virus scanner on your computer."
,,"The data is being processed by a different application or by a different
user.","Save the modifications made in a different application and make sure that
no other user processes this data at the time in question."
Error number: Text: Cause: Remedy:,,,
,The data are read-only.,"You have copied a data backup of a project from a CD onto your hard
disk and now cannot open this project. The reason for this is that all the
files of the project have the attribute ""write-protected"" set. There are
various ways of removing the write-protection from files. One such is
described below.","1. Mark the project in the explorer, where is saved in the folder and click on
the right mouse botton (example: D:\...\Siemens\Step7\S7Proj\<Project>).
2. Open in the context menu the ""Properties"" and select ""Security"".
3. Here you can allow the ""Read"" and other functions by ""Permissions for
Administrators"".
4. Click after on ""Apply"" and ""OK""."
256:93,The rights of write is missing in the directory.,The directory in which the S7P file is located is write-protected.,"Remove the write-protection from all directories that have to do with the
project."
,,Not enough space on the disk < 100 bytes,
,,"If STEP 7 V4.x is concerned, then it might be that a file has not been
deleted, which still specifies that the project is still on a write-protected
drive.",Delete S7APROMX.TXT in the root directory of the project.
256:94,Problems with the offline folder.,"This message may be due to the fact that the project has been
dearchived on a computer and edited with an options package whose
version is no longer compatible with the current STEP 7 version.","First of all check the versions of all the options packages installed on your
computer which are required for editing the project. You may need to install
one or other update (service pack) or upgrade (new version).
You can find information about compatibility with SIMATIC software
packages for your STEP 7 version in Entry ID 18734363.
Then make a copy of your project with ""File > Save as..."" and the option
""With reorganization (slow)""."
256:100,Authorization of STEP 7 is not found.,"No Basic Authorization installed. Error occurs when attempting to start an
installed options package. Probably STEP 7 is only authorized as Mini.",Install Basic Authorization
256:104,Authorization of optional package is not found.,No user rights (authorization) found for the options software on drive C:.,"Install the options authorization from the authorization floppy disk included in
the delivery package. If you have lost the authorization (e.g. through a fault
on the hard disk), you can install the emergency authorization to be able
continue working for a limited period of time. You must then procure a
replacement for the lost authorization during this limited time."
,,WIN NT: insufficient access rights.,To operate S7 software under NT you need at least main user rights.
256:107,,"The object specified could not be copied. There might not be enough
space left on the data medium. Possibly the target directory is
momentarily blocked by another application.","Press the ""Yes"" button to continue the copy or save operation for the
remaining objects. The copied objects might possibly be incomplete or
defective in the new environment. If you press the ""No"" button, the copy or
save operation is aborted."
Error number: Text: Cause: Remedy:,,,
,,"Possibly another STEP 7 application has opened the object to be copied
and has thus blocked it. In this case, close all other STEP 7 applications
and trigger the process again.",
256:111,Access denied,"Your have repeatedly loaded a program in the SPS and now it is not
possible to load the program again, also not after a new start.","Start the service ""Server"" in the control panel."
256:119,"There is no authorization for STEP 7. To operate
this optional package, you require the authorization
for ""STEP 7 V4.x"".","No authorization installed or the path in which the STEP 7 project is
located is too long.",Install the authorization or shorten the project path as appropriate.
257:5,"One or more objects of a type cannot be
represented. Unable to load the server
's7uvpomx.dll' for _S7UV_LIST_CT-objects. Make
sure that the required optional packages are
installed.","The process variable server cannot be started. Installation problem with
STEP 7. There must not be any incompatible version of WinCC installed
on the computer.","Please check the version of the software package installed against the
compatibility list. This is located in your STEP 7 directory as the file
S7KOMP_x.PDF. x stands for the language:
a=German b=English, c=French, d=Spanish, e=Italian."
,,"Mixed installation, a V4.0 or V4.01 was installed before the installation
STEP 7 V5.x.","Deinstall STEP 7 manually and then reinstall it.
See FAQ 189025"
,,Paths in Autoexec.bat are not set.,"Edit Autoexec.bat so that the paths are set or not overwritten, as the case
may be."
,"One or more objects of a type cannot be
represented.
Unable to load the server 's7hkdmax.dll' for
_S7H_DP_ETCR_INTGR_414_2_ROCF_CT-
objects.
Make sure that the required optional packages are
installed.","A file required by STEP 7 has not been found. Probably the project
contains objects for which you need an options package that is not
installed to process them.",Reinstall the DVA_S7 package.
,"One or more objects of a type cannot be
represented.
Unable to load the server 'p7spumax.dll' for
_SIPROM_CONTAINER_CT-objects.
Make sure that the required optional packages are
installed.","There is no authorization permitting you to integrate SIMATIC PDM in
STEP 7. This authorization is an options authorization which has to be
installed in addition to the basic authorization of SIMATIC PDM.","You must install the options authorization for integrating SIMATIC PDM in
STEP 7."
Error number: Text: Cause: Remedy:,,,
,"One or more objects of a type cannot be
represented.
Unable to load the server 's7jthomx.dll' for
_AUT_TH_AT-objects.
Make sure that the required optional packages are
installed.","The S7 project to be opened contains an object that has been created
with the options package Technological Hierarchies. This package is not
installed or has not been recognized properly after an over-installation of
STEP 7.",Reinstall the options package Technological Hierarchies.
,"One or more objects of a type cannot be
represented.
Unable to load the server 's7hk31ax.dll' for
_S7H_PLC315_2DPD_Modul_CT-objects.
Make sure that the required optional packages are
installed.",Toolbox of SINUMERIK 840D is missing or is badly installed.,Reinstall the toolbox for SINUMERIK 840 D.
,,"The S7 project is opened with STEP 7 V5.x and the SINUMERIK 840D
toolbox is installed with version under V5.","The SINUMERIK 840 D V4.x toolbox is incompatible with STEP 7 V5.
Please install the toolbox for SINUMERIK 840 D V5."
,"One or more objects of a type cannot be
represented.
Unable to load the server S7HK31AX.DLL for
_S7H_6ES7_315_1AF03_0AB0_CT - objects.
Make sure that the required optional packages are
installed.","Your project contains objects that have been created with the options
p a c k a g e C7_626P, but this options package is now not installed.",Please install the options packages concerned; in this case C7_626P.
,,"The message appears with each project you open, even if it doesn't
contain a C7_626P object.","In STEP 7 you have installed the options package C7_626P with an older
version than the version of STEP 7. Please upgrade the package C7_626P."
,"One or more objects of a type cannot be
represented.Unable to load the server 's7wb53ax
dll' for _S7H_6GK7_443_1BX00_0Xe_CT-objects.
Make sure that the required optional packages are
installed.","The NCM package is not installed and the S7 project contains
corresponding objects.","Please install the options packages concerned; in this case the NCM
options package."
,"One or more objects of a type cannot be
represented.Unable to load the server
S7HK31AX.DLL for
_S7H_PLC314_Modul_CT_objects. Make sure
that the required optional packages are installed.",Toolbox of SINUMERIK 810 is missing or badly installed.,Reinstall the toolbox for SINUMERIK 810.
Error number: Text: Cause: Remedy:,,,
,"One or more objects of a type cannot be
represented.Unable to load the server
""s7hsl7ax.dll"" for
_S7H_DP_PA_LINK_1_ETER_CT-objects. Make
sure that the required optional packages are
installed.","The error is probably caused by the permanent upgrading of STEP 7.
There are several older versions of STEP 7 one on top of the other.",Deinstall STEP 7 manually and then reinstall it.
,"One or more objects of a type cannot be
represented.Unable to load the server
""p7ss357x.dll"" for
_P7_FM357_6ES7_4AH00_0AE0_CT-objects.
Make sure that the required optional packages are
installed.",,
,"One or more objects of a type cannot be
represented. Unable to load the server
S7HK31AX.DLL for _P7_PUSTCH_CPU
314_CT_objects. Make sure that the required
optional packages are installed.",,
,"One or more objects of a type cannot be
represented.Unable to load the server
S7HK31AX.DLL for _P7_POSTECH_CPU
314_CT_objects. Make sure that the required
optional packages are installed.","Either the tool MCU-Pit is not installed at all (product of
Simodrive/Sinumerik) or the tool MCU-Pit V4.x has been installed in
combination with STEP 7 V5.x. Warning: only
the version V4.10 of MCU-Pit is released for STEP 7 V5.x.","Install the tool MCU-Pit V4.10. Also, in the directory Drive:\
Siemens\Step7\S7MET you must change the name of the file
""p7skmcux.mv5"" to ""p7skmcux.met"". Then you must delete all the remaining
*.DAT files in this directory and restart STEP 7 (so that the metafiles can be
recompiled)."
257:7,Type of object is not declared,"A file needed by STEP 7 has not been found. Possibly the project
contains objects for which you need an options package that is not
installed to process them.",
257:8,"One or more objects of a type (%1!X!) cannot be
represented. Make sure that the required optional
packages are installed.","There is an object in the project that has to be parameterized with an S7
options package. This options package is not installed.",Install the missing S7 options package.
,"One or more objects of a type (%1!X!) cannot be
represented. Make sure that the required optional
packages are installed.","There is an object in the project that has to be parameterized with an S7
options package. This options package is not installed.","Please import the type file for the sensor module IF961-ENC4 configured on
the FM456."
257:9,"The project contains objects of the optional
package 'xxxx' that cannot be processed because
the optional package is not installed or an outdated
version is installed.","The project probably contains objects for which you need an options
package that is not installed to process them, or a newer version of the
options package.",Please install the options package concerned.
Error number: Text: Cause: Remedy:,,,
,,,"In the SIMATIC Manager create a copy of your project (with File > Save
as..., Option ""With Reorganization (slow)""). Here, the objects that belong to
non-installed options packages are deleted in the target project. This error
message will then no longer be issued when working with the copy of the
project."
257:24,creat environment is not implemented.,SIMATIC Manager has been started double or computer has crashed.,"With V2.x, delete the *.dat files in the S7met directory. In any case, procure
the latest correction version."
257:26,"Not repairable internal system error. The link could
not be inserted.","Message appears when you trigger the function ""Display Reference
Data"". Links are distorted in the project.","Use the function ""Save as"" together with the option ""With Reorganization
(slowly)""."
,,"Message also appears when forwarding a project in conjunction with the
symbol table.",
257:79,"The project or parts of it are currently being edited
by another application.","This message appears when you start the ""File > Reorganize..."" function
if there is still an application open (e.g. Symbol Table) in the project which
is being reorganized.","Before reorganizing, close all the applications in the project."
257:90,"The project '%1' contains errors in the internal data
structure.","Project data damage by a crash/power failure on the computer.
With the ""Details"" button you can receive more information on the error, if
available.","1. Close all the STEP 7 applications except the SIMATIC Manager.
2. With the menu command ""File > Save as (with reorganization (slow)) ""
create a of the project which you can then continue to work with. Because of
the faults in the existing project, this copy might not contain all the data of
the original project."
257:94,"Open of project: <Date and Time>
S7fupos: Internal error during save of data of
server S7ombstx.dll.","Inconsistent project.
Application FM 453 has registered errors when saving the machine DBs.
A possible cause is the shortage of storage space on the computer.","1. Close all the STEP 7 applications except the SIMATIC Manager.
2. With the menu command ""File > Save as (with reorganization (slow)) ""
create a of the project which you can then continue to work with. Because of
the faults in the existing project, this copy might not contain all the data of
the original project."
258:1,Unable to open project data %1.,IDB defined as GDB in the symbol table.,"Define IDB correctly. In the case of V2.1, use Save as… for the project."
258:17,"The directory C:\Siemens\STEP7\S7proj\temp
exist already.","The temporary SDBDATA directory created must have been destroyed by
the crash.","In the directory [DRIVE]:\Siemens\STEP7\S7TEMP delete the directory
SDBDATA including subdirectories."
258:20,,,"After archiving call File > Title Field and note the Title Field specifications.
After dearchiving you can reestablish these specifications manually via File
> Title Field."
258:15,,"Some files or data blocks are write-protected and, therefore, the data can
only be accessed on a read-only basis. This may be due to the fact that
write access does not exist for the directory or drive where this data is
located, or the block may have been saved as write-protected for
reference purposes.","Ensure that you are authorized to access the drive or folder where the data
is located."
Error number: Text: Cause: Remedy:,,,
,,"There are still blocks (FCs, FBs, DBs and/or OBs) open and, as a result,
the associated projects and directories cannot be deleted.","Close any STEP 7 (and WinCC flex) editors which are still open. We also
advise you to close STEP 7 (and WinCC flex). Go to the Task Manager to
check whether there are still any S7 processes in operation and, if so, close
them. Then start STEP 7 again and delete the project via ""File > Delete""."
,,,"If the remedies under the last above points do not help, close STEP 7 again
and delete the project in the Explorer. You can find the folder for the saved
project in Fig. 01 under
""<Drive>\Program Files\Siemens\Step7\S7Proj\<Project>
It is possible that the data areas of the HW Config, NetPro, Symbol Table or
other STEP 7 components have not been released again completely after
being closed. You should be able to delete the projects again after rebooting
your PC."
,,"If the last remedy point does not help either and the project which you
wish to delete is still present under the menu commands ""File > Open...""
and ""File > Delete..."", some of the files in the SIMATIC software may be
damaged. In most cases, the repair function on the STEP 7 CD can be
used to restore the software status on your PC.","Otherwise, we recommend that you uninstall STEP 7 completely beforehand
and also delete the directories in the Registry Editor. Follow the procedure
precisely as described in our FAQ on ""Complete Deinstallation of STEP 7
including all Software Packages"". You can find this FAQ in Entry ID 189025."
275:5020,There is an internal error in the file S7nlvblx.dll.,"Save your entries and close the application. Switch your computer off/on
and restart the application. If the error reoccurs, then please get in touch
with your system administrator.",
276:27,,"No valid connection path between local and remote partners (e.g.
because of missing network connection or exhausted resources).","HotFix 1 for SP2 clears this problem. This error is still in SP3 at the moment,
but will be cleared by another Add On."
276:42,Loopback - Connecting are not allowed!,"Loopback connections are not permitted. You can specify an identical
address as local and remote user address, but then SDB generation is
rejected with an error message.","Problem (V4.02 and higher) is cleared with correction release K4.02.5. You
can ignore this error message, because the communication functions
despite this error message."
276:5020,"An internal error occurred. (Call:
AUTReloadObject)",,
288:48,"Unable to reach the module (z.B.) 413-2DP by
means of the subnet assigned to the programming
device/PC.","In a new project, for example, a hardware upload was made from the
CPU to the PG. In the attempt to immediately download this upload, this
error message appears. Problem: under Properties in
Options -> Set PG/PC interface, 1 is preset as local user address on the
MPI bus. But this does not match the address configured in the hardware
upload and hence the error message.","Under Properties in Options -> Set PG/PC interface, set the local user
address to 0 (or the one configured previously)."
Error number: Text: Cause: Remedy:,,,
289:2,"The data base is write-protected or there are not
enough memory.",XREF with V2.1.0 + standard control,->Correction K2.1.3 or higher
289:25,Two modules could not be translated back.,XREF with V2.1.0 + standard control,->Correction K2.1.3 or higher
289:35,"The selected button can not be executed for the
selected menu.",You have selected a block folder and triggered printing.,"This is how you print out the reference data for the blocks contained in the
folder:
1. Mark the block folder.
2. Select the menu command Options > Reference Data > Display.
In this way you display the reference data first. A check is made as to
whether reference data is available and whether it is up to date. If necessary
you can have the data updated. You can choose which table you want to
have printed with which filter setting."
,,,"This is how you print out the all the blocks of the container with the editor
with which they have been created: 1. Open the
block folder.
2. Select all the blocks (e.g. via the menu command Edit > Select All).
3. Select the menu command File > Print > Object."
291:416,,The file is occupied by another application for writing.,"Close all the applications that have opened the symbol table and restart the
function."
291:416,The symbol table is being by another process.,"In the window that opens, the symbols are greyed out since editing is not
possible. The Symbol Editor does not show any changes (it is not
possible to save the table) and it is not possible to access the symbols.","Editing the entries in the symbol editor is still possible. Make the changes
directly in the symbol table and save it. After saving the table, you can edit
the symbols in the LAD/FBD/STL editor after closing and opening the dialog
box again.
If you want to edit the symbols directly in the LAD/FBD/STL editor, close the
symbol editor and reopen the dialog box ""Edit symbols"" in the LAD/FBD/STL
editor. Editing is now possible. You can also simultaneously open the
symbol table. Changes in other applications are automatically applied in the
table."
Error number: Text: Cause: Remedy:,,,
291:416,The symbol table is occupied by another process,"In this case you can no longer edit, delete or import the symbol table. The
symbol table is not occupied by any other application for writing. You
have stored the project locally on the hard disk. The same error is also
displayed with the ""Save with Reorganization"" function of the project.","One possible cause of the error is that after a program crash of the symbol
editor, temporary files are not deleted in the S7 data management. In order
to control this, check your project:
1. In each project there is a ""..\YDBs"" directory where all the symbol lists are
stored.
2. Use Explorer to find files with the suffix .dbf__tmp in this and all
subordinate directories.
3. Terminate the STEP7 applications and delete these files. Then you can
edit all the symbol lists again.
It is imperative to make sure that you do not delete other files by mistake in
the project, because this could destroy the project."
,,,"1. First of all try closing all the STEP 7 applications including the SIMATIC
Manager. If the symbol table is then opened via the SIMATIC Manager, an
attempt is first made to clear any inconsistencies in the symbol table through
a sort of internal ""repair"" service.
2. If editing the symbol table continues to be impossible, then please reboot
your computer to make sure that all the STEP 7 applications have been
closed. Then open the symbol table again.
3. If none of the above steps is successful, open the ""..\YDB"" path
mentioned above in the project directory. In this directory delete any files
with the file name ""deleted.txt"" and ""update.txt"" and a size of 0 KB and any
empty folders. You will then be able to edit the symbol table again"
291:560,Internal error: Incorrect object ID.,"The symtabs function has failed - ambiguous entry in the symbol list for
FC names.",Delete the line for the FC in the symbol table.
,,"When calling an FB, a DB was assigned that is already assigned to
another FB in the symbol table.","Assign a different DB in the call or correct the assignment in the symbol
table."
,,,"Copy out the symbol table, then open and close the block, and then copy
back the symbol table."
291:1392,"No symbol table found. No symbol could be
created.",,
292:19,Error by opening of a file.,The file either has no valid B+C287trieve format or it is damaged.,Replace the file or delete it.
293:1,The reference data could no be generated.,The data medium is write-protected.,Remove write-protection.
,,Under NT: possibly insufficient access rights.,You need at least main user rights.
293:2,"The reference data could no be generated for the
SFC14 or the FC22.",,"Use the function ""Save as"" together with the option ""With Reorganization
(slowly)""."
Error number: Text: Cause: Remedy:,,,
294:6,Unable to copy the block %2.,The OBxy is not supported by the CPU.,"This OBxy cannot and must not be downloaded into this CPU. You can
possibly use another OBxy with a similar function, which is suitable for this
CPU and then download it."
,,"When programming an EPROM via an external prommer: the prommer
cable is plugged in incorrectly.","Plug in the prommer cable so that the connector with the yellow sticker is
connected to the prommer."
,Illegal command in the modul,"The module FCxx could not be copied.
(D280) Error during compiling of module in the S7-300.","This message appears, if your program has a marker (example M8000.0)
which address is not supported in the CPU. Change the address and repeat
the download. If the SF LED is not still erased after download, switch the
CPU into STOP and after in RUN again."
294:23,"Unable to copy the block %2. Do you want to
continue the copy procedure?",A block of this type already exists and it may not be overwritten.,Delete the equivalent block in the ONLINE database and repeat the transfer.
,,The automation system is in the RUN operating mode.,Put the automation system into an operating mode that permits copying.
,,,SDBs can only be transferred in the STOP mode.
,,"A block of this type and number is not permitted on the automation
system.","Check whether a block of this type and this number may be copied onto an
automation system of the present type."
,,"The block is using operands beyond the area of the CPU (e.g. EW 128
with S7-300 CPU).","Check the block with reference to the addresses used whether they do not
exceed the permitted address area in the CPU implemented."
,,"The block is using statements that are not realized in the CPU (e.g. ENT
with S7-300 CPU).","Check the block with reference to the commands used based on the
operations list for the CPU implemented."
,,"The block has to much local data (e.g. more than 256 bytes with S7-300
CPU).","When implementing an S7-300, you must reduce the local data area for this
block. If you implement an S7-400 CPU, you can parameterize the
necessary local data area for each run level."
,,"Referenced block SFC, SFB is not permitted in this module.","Check whether the blocks that are to be downloaded are permitted on the
CPU concerned."
294:27,"The block %2 is being processed by another
application or another user at the moment.\nDo
you want to create the reference data for the saved
version of the block?","Multi-users: the block specified is being processed at the moment by
another application or by another user. You can create a copy of the last
version saved or cancel the function.","If you are working with several colleagues on your S7 project, then it is
recommended not to process this block without prior synchronization with
your colleagues."
,,Single Users: the block is opened ONLINE as OFFLINE.,Close the block once; ONLINE or OFFLINE.
295:17240,,,
295:17248,"The order was interrupted to the TS-Adapter
because of transmission error.","The initialization string is not correct or in this form does not work together
with the modem connected to the system.","The initialization string in the TS adapter must be modified in the direct
operating mode so that it matches the modem."
Error number: Text: Cause: Remedy:,,,
,,"On the system there is not a TS adapter but a PC adapter on the modem.
The TS adapter has order number
6ES7972-0CA3x-0XA0",Exchange the adapter for a TS adapter.
,,"Possibly the terminator on the PROFIBUS cable on the system side
(TeleService) is switched on.",Switch off the bus terminator.
